,Bird,Ground-Animal,Curb,Fence,Guard-Rail,Barrier,Wall,Bike-Lane,Crosswalk---Plain,Curb-Cut,Parking,Pedestrian-Area,Rail-Track,Road,Service-Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other-Rider,Lane-Marking---Crosswalk,Lane-Marking---General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike-Rack,Billboard,Catch-Basin,CCTV-Camera,Fire-Hydrant,Junction-Box,Mailbox,Manhole,Phone-Booth,Pothole,Street-Light,Pole,Traffic-Sign-Frame,Utility-Pole,Traffic-Light,Traffic-Sign-(Back),Traffic-Sign-(Front),Trash-Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On-Rails,Other-Vehicle,Trailer,Truck,Wheeled-Slow,Car-Mount,Ego-Vehicle
94c968ae-2274-4d5e-af28-7eb147984276.jpeg,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,5,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,1
c34ab333-27ab-4f71-aef8-249266157a2b.jpeg,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,9,0,3,0,1,5,0,0,0,2,9,0,0,0,0,0,2,0,0,1
77abd7ac-e08f-434e-bc8c-d5ae4cbc5998.jpeg,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,1,0,5,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,7,0,5,4,2,1,1,0,0,0,6,0,0,0,0,0,1,0,0,1
c38fee3d-2123-4360-9cfb-cc6b3c10225b.jpeg,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9,0,11,6,0,4,0,1,0,0,3,1,0,0,0,0,0,1,0,1
0958d7cf-ed9e-4974-ae3d-b98bc9ada739.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,12,0,2,6,0,4,0,1,0,2,0,0,0,1,0,0,0,0,0,1
9e276ede-ecc1-4672-9696-a2e49556c6a5.jpeg,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,9,0,0,6,0,0,0,0,16,0,0,0,0,0,1,0,0,1
33574c38-8378-444e-8452-68ed3a54bc31.jpeg,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,9,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,1
82f810f7-97e0-4f77-a4ec-2cdd591d4540.jpeg,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,3,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,1
901235cc-d78a-4a24-8d7e-e17170b5eee3.jpeg,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,4,0,2,6,1,0,0,0,3,0,0,0,0,0,0,0,0,1
6a440d69-8467-45ca-b515-a2fd4e834d05.jpeg,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,6,0,1,0,0,9,0,0,0,2,2,0,0,0,0,0,0,0,0,1
5e0280ab-f7dc-4d62-9c5c-43b358fb433c.jpeg,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,2
